,r,minPoints,N_clusters,Noise_elements,frac_noise
0,0.025,1,9282,0,0.0
1,0.025,2,295,8988,86.3
2,0.025,3,89,9400,90.3
3,0.025,4,61,9485,91.1
4,0.025,5,42,9564,91.9
5,0.025,6,35,9599,92.2
6,0.025,7,30,9631,92.5
7,0.025,8,29,9639,92.6
8,0.025,9,26,9665,92.8
9,0.025,10,20,9732,93.5
10,0.05,1,8774,0,0.0
11,0.05,2,486,8289,79.6
12,0.05,3,143,8975,86.2
13,0.05,4,93,9130,87.7
14,0.05,5,68,9236,88.7
15,0.05,6,55,9307,89.4
16,0.05,7,49,9357,89.9
17,0.05,8,42,9408,90.4
18,0.05,9,41,9416,90.4
19,0.05,10,30,9519,91.4
20,0.07500000000000001,1,8453,0,0.0
21,0.07500000000000001,2,563,7891,75.8
22,0.07500000000000001,3,199,8619,82.8
23,0.07500000000000001,4,121,8865,85.2
24,0.07500000000000001,5,89,9003,86.5
25,0.07500000000000001,6,65,9144,87.8
26,0.07500000000000001,7,53,9229,88.6
27,0.07500000000000001,8,49,9259,88.9
28,0.07500000000000001,9,43,9308,89.4
29,0.07500000000000001,10,35,9388,90.2
30,0.1,1,8182,0,0.0
31,0.1,2,623,7560,72.6
32,0.1,3,209,8388,80.6
33,0.1,4,122,8667,83.2
34,0.1,5,87,8823,84.7
35,0.1,6,73,8900,85.5
36,0.1,7,59,9000,86.4
37,0.1,8,54,9052,86.9
38,0.1,9,44,9140,87.8
39,0.1,10,37,9205,88.4
40,0.125,1,7900,0,0.0
41,0.125,2,663,7238,69.5
42,0.125,3,231,8102,77.8
43,0.125,4,147,8377,80.5
44,0.125,5,109,8552,82.1
45,0.125,6,83,8696,83.5
46,0.125,7,64,8815,84.7
47,0.125,8,59,8854,85.0
48,0.125,9,52,8914,85.6
49,0.125,10,44,8992,86.4
50,0.15,1,7637,0,0.0
51,0.15,2,712,6926,66.5
52,0.15,3,262,7826,75.2
53,0.15,4,157,8172,78.5
54,0.15,5,114,8361,80.3
55,0.15,6,93,8486,81.5
56,0.15,7,70,8634,82.9
57,0.15,8,60,8716,83.7
58,0.15,9,52,8795,84.5
59,0.15,10,47,8847,85.0
60,0.17500000000000002,1,7295,0,0.0
61,0.17500000000000002,2,748,6548,62.9
62,0.17500000000000002,3,288,7468,71.7
63,0.17500000000000002,4,175,7862,75.5
64,0.17500000000000002,5,125,8098,77.8
65,0.17500000000000002,6,101,8250,79.2
66,0.17500000000000002,7,79,8406,80.7
67,0.17500000000000002,8,71,8477,81.4
68,0.17500000000000002,9,59,8594,82.5
69,0.17500000000000002,10,53,8666,83.2
70,0.2,1,6906,0,0.0
71,0.2,2,759,6148,59.1
72,0.2,3,317,7032,67.5
73,0.2,4,198,7457,71.6
74,0.2,5,134,7775,74.7
75,0.2,6,111,7940,76.3
76,0.2,7,87,8116,78.0
77,0.2,8,81,8180,78.6
78,0.2,9,72,8265,79.4
79,0.2,10,65,8356,80.3
80,0.225,1,6612,0,0.0
81,0.225,2,737,5876,56.4
82,0.225,3,330,6690,64.3
83,0.225,4,215,7099,68.2
84,0.225,5,148,7405,71.1
85,0.225,6,110,7649,73.5
86,0.225,7,93,7778,74.7
87,0.225,8,88,7841,75.3
88,0.225,9,78,7964,76.5
89,0.225,10,70,8071,77.5
90,0.25,1,6260,0,0.0
91,0.25,2,713,5548,53.3
92,0.25,3,323,6328,60.8
93,0.25,4,213,6708,64.4
94,0.25,5,164,6958,66.8
95,0.25,6,135,7159,68.8
96,0.25,7,99,7438,71.4
97,0.25,8,89,7556,72.6
98,0.25,9,76,7676,73.7
99,0.25,10,72,7744,74.4
100,0.275,1,5981,0,0.0
101,0.275,2,689,5293,50.8
102,0.275,3,299,6073,58.3
103,0.275,4,207,6408,61.6
104,0.275,5,161,6657,63.9
105,0.275,6,133,6838,65.7
106,0.275,7,114,7030,67.5
107,0.275,8,90,7241,69.6
108,0.275,9,79,7372,70.8
109,0.275,10,72,7450,71.6
110,0.30000000000000004,1,5609,0,0.0
111,0.30000000000000004,2,692,4918,47.2
112,0.30000000000000004,3,302,5698,54.7
113,0.30000000000000004,4,203,6044,58.1
114,0.30000000000000004,5,153,6311,60.6
115,0.30000000000000004,6,126,6493,62.4
116,0.30000000000000004,7,115,6644,63.8
117,0.30000000000000004,8,95,6840,65.7
118,0.30000000000000004,9,83,6985,67.1
119,0.30000000000000004,10,77,7079,68.0
120,0.32500000000000007,1,5222,0,0.0
121,0.32500000000000007,2,691,4532,43.5
122,0.32500000000000007,3,304,5306,51.0
123,0.32500000000000007,4,203,5675,54.5
124,0.32500000000000007,5,153,5944,57.1
125,0.32500000000000007,6,128,6124,58.8
126,0.32500000000000007,7,107,6287,60.4
127,0.32500000000000007,8,97,6430,61.8
128,0.32500000000000007,9,85,6588,63.3
129,0.32500000000000007,10,79,6692,64.3
130,0.35000000000000003,1,4768,0,0.0
131,0.35000000000000003,2,700,4069,39.1
132,0.35000000000000003,3,321,4827,46.4
133,0.35000000000000003,4,205,5267,50.6
134,0.35000000000000003,5,153,5538,53.2
135,0.35000000000000003,6,129,5737,55.1
136,0.35000000000000003,7,103,5938,57.0
137,0.35000000000000003,8,92,6064,58.2
138,0.35000000000000003,9,82,6202,59.6
139,0.35000000000000003,10,73,6308,60.6
140,0.37500000000000006,1,4318,0,0.0
141,0.37500000000000006,2,675,3644,35.0
142,0.37500000000000006,3,328,4338,41.7
143,0.37500000000000006,4,216,4761,45.7
144,0.37500000000000006,5,164,5048,48.5
145,0.37500000000000006,6,133,5256,50.5
146,0.37500000000000006,7,109,5465,52.5
147,0.37500000000000006,8,91,5656,54.3
148,0.37500000000000006,9,76,5832,56.0
149,0.37500000000000006,10,68,5940,57.1
150,0.4,1,3766,0,0.0
151,0.4,2,644,3123,30.0
152,0.4,3,333,3745,36.0
153,0.4,4,227,4170,40.1
154,0.4,5,173,4474,43.0
155,0.4,6,140,4717,45.3
156,0.4,7,125,4886,46.9
157,0.4,8,107,5097,49.0
158,0.4,9,84,5333,51.2
159,0.4,10,70,5482,52.7
160,0.42500000000000004,1,3187,0,0.0
161,0.42500000000000004,2,580,2608,25.1
162,0.42500000000000004,3,302,3164,30.4
163,0.42500000000000004,4,218,3508,33.7
164,0.42500000000000004,5,173,3781,36.3
165,0.42500000000000004,6,137,4070,39.1
166,0.42500000000000004,7,130,4253,40.9
167,0.42500000000000004,8,115,4448,42.7
168,0.42500000000000004,9,96,4698,45.1
169,0.42500000000000004,10,77,4954,47.6
170,0.45000000000000007,1,2502,0,0.0
171,0.45000000000000007,2,531,1972,18.9
172,0.45000000000000007,3,270,2494,24.0
173,0.45000000000000007,4,192,2839,27.3
